"","Case","Images","DAB","Hem","Ratio","D_Objects","H_Objects","Object_Ratio"
"50","23","23_Recurrent_p53_13_features_d.csv 23_Recurrent_p53_13_features_h.csv",105883,483193,0.219131899675699,148,750,0.197333333333333
"51","23","23_Recurrent_p53_14_features_d.csv 23_Recurrent_p53_14_features_h.csv",110343,836395,0.131926900567316,171,1416,0.120762711864407
"52","23","23_Recurrent_p53_15_features_d.csv 23_Recurrent_p53_15_features_h.csv",34105,741123,0.0460180024098564,53,1208,0.0438741721854305
"53","23","23_Recurrent_p53_2_features_d.csv 23_Recurrent_p53_2_features_h.csv",80392,672959,0.119460472331895,126,1012,0.124505928853755
"54","23","23_Recurrent_p53_3_features_d.csv 23_Recurrent_p53_3_features_h.csv",103870,646584,0.160644247305841,151,1079,0.139944392956441
"55","23","23_Recurrent_p53_4_features_d.csv 23_Recurrent_p53_4_features_h.csv",143840,628429,0.228888227627942,239,949,0.251844046364594
"56","23","23_Recurrent_p53_5_features_d.csv 23_Recurrent_p53_5_features_h.csv",60357,611071,0.0987724830666158,80,1167,0.0685518423307626
"57","23","23_Recurrent_p53_6_features_d.csv 23_Recurrent_p53_6_features_h.csv",77097,618818,0.124587520078601,110,1147,0.0959023539668701
"58","23","23_Recurrent_p53_7_features_d.csv 23_Recurrent_p53_7_features_h.csv",179464,708734,0.253217709323949,258,1207,0.213753106876553
"59","23","23_Recurrent_p53_8_features_d.csv 23_Recurrent_p53_8_features_h.csv",142537,655781,0.217354574164241,185,1068,0.173220973782772
"60","23","23_Recurrent_p53_9_features_d.csv 23_Recurrent_p53_9_features_h.csv",90585,607971,0.148995593539823,128,976,0.131147540983607
"61","36","36_Control_p53_1_features_d.csv 36_Control_p53_1_features_h.csv",102490,453194,0.226150390340561,392,697,0.562410329985653
"62","36","36_Control_p53_10_features_d.csv 36_Control_p53_10_features_h.csv",66997,572901,0.116943416052686,171,761,0.224704336399474
"63","36","36_Control_p53_2_features_d.csv 36_Control_p53_2_features_h.csv",69576,365937,0.190131088138122,259,535,0.48411214953271
"64","36","36_Control_p53_3_features_d.csv 36_Control_p53_3_features_h.csv",113063,504584,0.224071710557608,353,769,0.459037711313394
"65","36","36_Control_p53_4_features_d.csv 36_Control_p53_4_features_h.csv",127473,758839,0.167984249623438,326,1037,0.314368370298939
"66","36","36_Control_p53_5_features_d.csv 36_Control_p53_5_features_h.csv",36995,499976,0.0739935516904811,120,779,0.154043645699615
"67","36","36_Control_p53_6_features_d.csv 36_Control_p53_6_features_h.csv",34121,773359,0.0441205184138285,104,1115,0.0932735426008969
"68","36","36_Control_p53_7_features_d.csv 36_Control_p53_7_features_h.csv",93736,1066695,0.087875165815908,202,1202,0.168053244592346
